ID,Razón Social,RUT / CUIT,Operación,Categoría Principal,Total Envíos,Total Camiones,Flete Total USD,Promedio USD/Camión,Último Envío
2273,WALMART CHILE SA,76042014-K,IMPO,Azúcar y dulces,1783,2639,6875871.08,2605.48,2026-01-30
2268,IANSAGRO S A,96772810-1,IMPO,Otros,279,1296,1453471.00,1121.51,2026-01-29
2249,UNILEVER CHILE SCC LIMITADA,76321731-0,IMPO,Otros,939,1255,3479149.73,2772.23,2026-01-29
2777,PROSUD S.A,78030690-4,IMPO,Aceites y grasas,392,1254,1667196.32,1329.50,2026-01-30
2322,TOYOTA CHILE S A,86740500-3,IMPO,Vidrio y cerámica,1109,1109,6821230.29,6150.79,2026-01-30
2303,CARTOCOR CHILE S A,99534220-0,IMPO,Otros,1012,1092,2420545.72,2216.62,2026-01-30
2929,CIA.MINERA AMBAR CHILE LTDA.,78966840-K,IMPO,Combustibles y gas,116,1029,415200.00,403.50,2026-01-29
2649,INGREDION CHILE S.A.,96845100-6,IMPO,Cereales y harinas,612,922,1932864.46,2096.38,2026-01-29
2648,MASTERFOODS CHILE ALIMENT.LTDA,78843490-1,IMPO,Alimentos mascotas,583,867,2386294.92,2752.36,2026-01-30
2980,INDUSTRIAS VINICAS S.A.,—,EXPO,Frutas y verduras,214,692,461748.98,667.27,2026-01-30
2367,LUCCHETTI CHILE S.A.,76412854-0,IMPO,Pasta y panificados,355,648,1490350.00,2299.92,2026-01-30
2293,AGROCOMMERCE S.A,96973910-0,IMPO,Otros,341,620,1377287.71,2221.43,2026-01-30
2278,AXIS LOGISTICA DE CHILE S.A,99563380-9,IMPO,Carnes y derivados,618,618,1702932.36,2755.55,2026-01-30
2496,FORD MOTOR COMPANY CHILE SPA,78703910-3,IMPO,Otros,552,552,2257509.58,4089.69,2026-01-28
2321,IDAL S A,85567100-K,IMPO,Azúcar y dulces,186,530,949053.88,1790.67,2026-01-30
3040,CARTULINAS CMPC S.A.,—,EXPO,Papel y cartón,393,523,1333178.58,2549.10,2026-01-29
2257,TETRA PAK DE CHILE COMERCIAL L,85749900-K,IMPO,Plásticos y polímeros,517,517,1225636.19,2370.67,2026-01-28
3069,PRIMAR S.A.,—,EXPO,Otros,218,509,923149.97,1813.65,2026-01-29
2473,GOODYEAR DE CHILE S.A.I.C.,93770000-8,IMPO,Otros,507,507,1513398.95,2985.01,2026-01-30
2250,CENCOSUD RETAIL S.A.,81201000-K,IMPO,Congelados y helados,475,494,1388933.07,2811.61,2026-01-29
2699,MAFOR S.A.,96698130-K,IMPO,Madera y corcho,186,481,1176952.32,2446.89,2026-01-30
2696,KABSA S.A.,96942870-9,IMPO,Carnes y derivados,399,468,1296360.64,2770.00,2026-01-30
2742,BUNGE CHILE SPA,76425115-6,IMPO,Otros,304,453,1133863.94,2503.01,2026-01-30
